t,x,v,a,id,lane,oldLane,pos,event,Vehicle
0,0,0,0,0,0,-1,1700,lane info,No vehicle yet
0,0,0,0,0,1,-1,300,lane info,No vehicle yet
0,0,0,0,0,2,-1,1000,lane info,No vehicle yet
0,0,0,0,0,3,-1,1700,lane info,No vehicle yet
0,0,0,0,0,4,-1,300,lane info,No vehicle yet
0,0,0,0,0,5,-1,1000,lane info,No vehicle yet
0,0,0,0,0,6,-1,1700,lane info,No vehicle yet
0,0,0,0,0,7,-1,300,lane info,No vehicle yet
2.676148785699183,0,22.22222222222222,0,300,-1,-1,0,start,electric car
2.676148785699183,0,22.22222222222222,0,300,6,-1,0,enter lane,electric car
3,7.2,22.222255705207846,0.00020678005298317142,300,6,-1,7.2,timer,electric car
3.230390714238057,0,22.22222222222222,0,600,-1,-1,0,start,electric car
3.230390714238057,0,22.22222222222222,0,600,0,-1,0,enter lane,electric car
3.692809161787885,0,22.22222222222222,0,0,-1,-1,0,start,car
3.692809161787885,0,22.22222222222222,0,0,3,-1,0,enter lane,car
4,29.42,22.22278173688604,0.0008452833034020468,300,6,-1,29.42,timer,electric car
4,17.1,22.22233054096303,0.00028149021279019634,600,0,-1,17.1,timer,electric car
4,6.83,22.22222991924976,5.011235088519233e-05,0,3,-1,6.83,timer,car
5,51.64,22.223946271814654,0.0014837865538209222,300,6,-1,51.64,timer,electric car
5,39.32,22.22279490982476,0.0006472475106787088,600,0,-1,39.32,timer,electric car
5,29.05,22.222361597104317,0.00021324335823180393,0,3,-1,29.05,timer,car
5.2899511914613875,0,22.22222222222222,0,601,-1,-1,0,start,car
5.2899511914613875,0,22.22222222222222,0,601,0,-1,0,enter lane,car
5.919902468158022,0,22.22222222222222,0,301,-1,-1,0,start,HGV
5.919902468158022,0,22.22222222222222,0,301,6,-1,0,enter lane,HGV
6,73.86,22.225749309993684,0.002122289804239798,300,6,-1,73.86,timer,electric car
6,61.54,22.223625035984384,0.0010130048085672213,600,0,-1,61.54,timer,electric car
6,51.27,22.222656405966223,0.00037637436557841553,0,3,-1,51.27,timer,car
6,15.78,22.222304964381493,0.00023306048338521502,601,0,-1,15.78,timer,car
6,1.78,22.222223249914013,2.5661010244710083e-05,301,6,-1,1.78,timer,HGV
6.62154235119354,0,22.22222222222222,0,1,-1,-1,0,start,car
6.62154235119354,0,22.22222222222222,0,1,3,-1,0,enter lane,car
7,96.09,22.228190851423136,0.0027607930546586735,300,6,-1,96.09,timer,electric car
7,83.76,22.224820919441893,0.0013787621064557337,600,0,-1,83.76,timer,electric car
7,73.49,22.223114345835473,0.0005395053729250271,0,3,-1,73.49,timer,car
7,38.0,22.222702140683808,0.0005612921212424612,601,0,-1,38.0,timer,car
7,24.0,22.222409096947814,0.0003460330573551748,301,6,-1,24.0,timer,HGV
7,8.41,22.222224242430745,1.0676008421254554e-05,1,3,-1,8.41,timer,car
8,118.32,22.231270896103005,0.0033992963050775487,300,6,-1,118.32,timer,electric car
8,105.99,22.22638256019729,0.0017445194043442462,600,0,-1,105.99,timer,electric car
8,95.71,22.22373541671207,0.0007026363802716388,0,3,-1,95.71,timer,car
8,60.22,22.22342754862398,0.0008895237590997074,601,0,-1,60.22,timer,car
8,46.22,22.222915316028725,0.0006664051044656395,301,6,-1,46.22,timer,HGV
8,30.63,22.222249023066798,3.888526368382733e-05,1,3,-1,30.63,timer,car
9,140.55,22.234989444033292,0.004037799555496424,300,6,-1,140.55,timer,electric car
9,128.22,22.228309958250577,0.002110276702232759,600,0,-1,128.22,timer,electric car
9,117.93,22.224519618596016,0.0008657673876182504,0,3,-1,117.93,timer,car
9,82.44,22.22448118820201,0.0012177553969569535,601,0,-1,82.44,timer,car
9,68.44,22.223741907156747,0.0009867771515761042,301,6,-1,68.44,timer,HGV
9,52.85,22.222302012958114,6.70945189464001e-05,1,3,-1,52.85,timer,car
9.022868397361487,0,22.22222222222222,0,602,-1,-1,0,start,electric car
9.022868397361487,0,22.22222222222222,0,602,0,-1,0,enter lane,electric car
9.162019855111373,0,22.22222222222222,0,302,-1,-1,0,start,electric car
9.162019855111373,0,22.22222222222222,0,302,6,-1,0,enter lane,electric car
10,162.78,22.239346495213994,0.0046763028059153,300,6,-1,162.78,timer,electric car
10,150.45,22.230603113601756,0.0024760340001212713,600,0,-1,150.45,timer,electric car
10,140.15,22.22546695148731,0.001028898394964862,0,3,-1,140.15,timer,car
10,104.67,22.225863059417897,0.0015459870348141997,601,0,-1,104.67,timer,car
10,90.66,22.224888870331874,0.0013071491986865688,301,6,-1,90.66,timer,HGV
10,75.07,22.222383212104692,9.530377420897287e-05,1,3,-1,75.07,timer,car
10,21.71,22.222221337087284,-1.811700560629425e-06,602,0,-1,21.71,timer,electric car
10,18.62,22.222304314004926,0.00019592775128591963,302,6,-1,18.62,timer,electric car
10.375594078188218,0,22.22222222222222,0,2,-1,-1,0,start,car
10.375594078188218,0,22.22222222222222,0,2,3,-1,0,enter lane,car
11,185.02,22.24434204964512,0.005314806056334175,300,6,-1,185.02,timer,electric car
11,172.68,22.23326202625082,0.0028417912980097837,600,0,-1,172.68,timer,electric car
11,162.38,22.226577415385947,0.0011920294023114735,0,3,-1,162.38,timer,car
11,126.9,22.22757316227164,0.0018742186726714459,601,0,-1,126.9,timer,car
11,112.89,22.22635620555412,0.0016275212457970336,301,6,-1,112.89,timer,HGV
11,97.3,22.222492620506536,0.00012351302947154565,1,3,-1,97.3,timer,car
11,43.93,22.222218598336287,-3.665801436844415e-06,602,0,-1,43.93,timer,electric car
11,40.84,22.222617146525664,0.00042973729018849066,302,6,-1,40.84,timer,electric car
11,13.88,22.22230038181971,0.00025034867466765015,2,3,-1,13.88,timer,car
11.151718317072431,0,22.22222222222222,0,603,-1,-1,0,start,car
11.151718317072431,0,22.22222222222222,0,603,0,-1,0,enter lane,car
12,207.27,22.249976107326663,0.00595330930675305,300,6,-1,207.27,timer,electric car
12,194.91,22.236286696197773,0.003207548595898296,600,0,-1,194.91,timer,electric car
12,184.61,22.227851010291932,0.001355160409658085,0,3,-1,184.61,timer,car
12,149.13,22.229611496763237,0.002202450310528692,601,0,-1,149.13,timer,car
12,135.12,22.228143912823473,0.0019478932929074982,301,6,-1,135.12,timer,HGV
12,119.52,22.22263023816364,0.00015172228473411844,1,3,-1,119.52,timer,car
12,66.15,22.22221400548441,-5.519902313059405e-06,602,0,-1,66.15,timer,electric car
12,63.06,22.223163788585307,0.0006635468290910617,302,6,-1,63.06,timer,electric car
12,36.1,22.222751199985396,0.0006512876567023435,2,3,-1,36.1,timer,car
12,18.85,22.222348047461374,0.00029665909728748336,603,0,-1,18.85,timer,car
12.664969921962488,0,22.22222222222222,0,303,-1,-1,0,start,car
12.664969921962488,0,22.22222222222222,0,303,6,-1,0,enter lane,car
13,229.53,22.25620162916397,0.006346722309163623,300,6,-1,229.53,timer,electric car
13,217.15,22.239677123442615,0.0035733058937868086,600,0,-1,217.15,timer,electric car
13,206.84,22.229287736205265,0.0015182914170046966,0,3,-1,206.84,timer,car
13,171.36,22.231978062892694,0.0025306819483859383,601,0,-1,171.36,timer,car
13,157.35,22.230251992139937,0.002268265340017963,301,6,-1,157.35,timer,HGV
13,141.74,22.222796065076004,0.00017993153999669122,1,3,-1,141.74,timer,car
13,88.37,22.22220755853166,-7.374003189274395e-06,602,0,-1,88.37,timer,electric car
13,85.29,22.223944240183847,0.0008973563679936327,302,6,-1,85.29,timer,electric car
13,58.32,22.223602957133114,0.0010522266387370369,2,3,-1,58.32,timer,car
13,41.07,22.222819565395802,0.0006463767715671647,603,0,-1,41.07,timer,car
13,7.45,22.222262153468407,0.0002383740971595867,303,6,-1,7.45,timer,car
13.164229501390373,0,22.22222222222222,0,3,-1,-1,0,start,car
13.164229501390373,0,22.22222222222222,0,3,3,-1,0,enter lane,car
13.676996357050477,0,22.22222222222222,0,604,-1,-1,0,start,car
13.676996357050477,0,22.22222222222222,0,604,0,-1,0,enter lane,car
14,251.79,22.262548351473136,0.006346722309163623,300,6,-1,251.79,timer,electric car
14,239.39,22.243426021392786,0.003866054638681577,600,0,-1,239.39,timer,electric car
14,229.07,22.230887593125946,0.0016814224243513081,0,3,-1,229.07,timer,car
14,193.59,22.23467286066001,0.0028589135862431845,601,0,-1,193.59,timer,car
14,179.58,22.23268042717092,0.00258540242018145,301,6,-1,179.58,timer,HGV
14,163.96,22.22299010124363,0.00020814079525926398,1,3,-1,163.96,timer,car
14,110.59,22.222199257478035,-9.228104065489384e-06,602,0,-1,110.59,timer,electric car
14,107.51,22.224958501321293,0.0011311659068962037,302,6,-1,107.51,timer,electric car
14,80.54,22.224855653262868,0.0014531656207717302,2,3,-1,80.54,timer,car
14,63.29,22.223640801004507,0.0009960944458468459,603,0,-1,63.29,timer,car
14,29.67,22.222856277859023,0.0009498746840797163,303,6,-1,29.67,timer,car
14,18.57,22.222270372519116,0.00011522372942386798,3,3,-1,18.57,timer,car
14,7.18,22.222237195046326,9.27099395434873e-05,604,0,-1,7.18,timer,car
15,274.06,22.2688950737823,0.006346722309163623,300,6,-1,274.06,timer,electric car
15,261.64,22.247292076031467,0.003866054638681577,600,0,-1,261.64,timer,electric car
15,251.3,22.232619510752755,0.0017438704685352783,0,3,-1,251.3,timer,car
15,215.83,22.237695890065183,0.0031871452241004307,601,0,-1,215.83,timer,car
15,201.81,22.2352658295911,0.00258540242018145,301,6,-1,201.81,timer,HGV
15,186.18,22.22321234666652,0.00023635005052183677,1,3,-1,186.18,timer,car
15,132.81,22.222189102323533,-1.1082204941704374e-05,602,0,-1,132.81,timer,electric car
15,129.74,22.22620657199764,0.0013649754457987747,302,6,-1,129.74,timer,electric car
15,102.77,22.226509288374654,0.0018541046028064236,2,3,-1,102.77,timer,car
15,85.51,22.224811754287494,0.0013458121201265273,603,0,-1,85.51,timer,car
15,51.89,22.22416190283656,0.001661375270999846,303,6,-1,51.89,timer,car
15,40.79,22.22245452888592,0.0002530890041799789,3,3,-1,40.79,timer,car
15,29.4,22.222473417205574,0.0003797343789488827,604,0,-1,29.4,timer,car
15.224808255569043,0,22.22222222222222,0,304,-1,-1,0,start,electric car
15.224808255569043,0,22.22222222222222,0,304,6,-1,0,enter lane,electric car
16,296.34,22.275241796091464,0.006346722309163623,300,6,-1,296.34,timer,electric car
16,283.89,22.25115813067015,0.003866054638681577,600,0,-1,283.89,timer,electric car
16,273.53,22.23436338122129,0.0017438704685352783,0,3,-1,273.53,timer,car
16,238.07,22.24093133752876,0.0032396462656510204,601,0,-1,238.07,timer,car
16,224.05,22.237851232011284,0.00258540242018145,301,6,-1,224.05,timer,HGV
16,208.4,22.223462801344674,0.00026455930578440955,1,3,-1,208.4,timer,car
16,155.03,22.222177093068154,-1.2936305817919365e-05,602,0,-1,155.03,timer,electric car
16,151.97,22.227688452212888,0.0015987849847013459,302,6,-1,151.97,timer,electric car
16,125.0,22.228563862468476,0.002255043584841117,2,3,-1,125.0,timer,car
16,107.74,22.226332425244763,0.0016955297944062087,603,0,-1,107.74,timer,car
16,74.12,22.226179028401017,0.0023728758579199755,303,6,-1,74.12,timer,car
16,63.01,22.222776550527477,0.0003909542789360898,3,3,-1,63.01,timer,car
16,51.62,22.222996663804228,0.0006667588183542782,604,0,-1,51.62,timer,car
16,17.23,22.222429198826664,0.0005340010543960891,304,6,-1,17.23,timer,electric car
16.390068340496256,0,22.22222222222222,0,4,-1,-1,0,start,car
16.390068340496256,0,22.22222222222222,0,4,3,-1,0,enter lane,car
16.452587373691312,0,22.22222222222222,0,605,-1,-1,0,start,car
16.452587373691312,0,22.22222222222222,0,605,0,-1,0,enter lane,car
17,318.62,22.28158851840063,0.006346722309163623,300,6,-1,318.62,timer,electric car
17,306.14,22.25502418530883,0.003866054638681577,600,0,-1,306.14,timer,electric car
17,295.76,22.236107251689827,0.0017438704685352783,0,3,-1,295.76,timer,car
17,260.32,22.24417098379441,0.0032396462656510204,601,0,-1,260.32,timer,car
17,246.29,22.240436634431465,0.00258540242018145,301,6,-1,246.29,timer,HGV
17,230.62,22.223741465278092,0.0002927685610469823,1,3,-1,230.62,timer,car
17,177.25,22.222163229711896,-1.4790406694134355e-05,602,0,-1,177.25,timer,electric car
17,174.2,22.22940414196704,0.0018325945236039168,302,6,-1,174.2,timer,electric car
17,147.23,22.231019375544335,0.0026559825668758105,2,3,-1,147.23,timer,car
17,129.97,22.228202813876308,0.00204524746868589,603,0,-1,129.97,timer,car
17,96.35,22.228907654552394,0.003084376444840105,303,6,-1,96.35,timer,car
17,85.23,22.22323643744379,0.0005288195536922007,3,3,-1,85.23,timer,car
17,73.85,22.223806934842287,0.0009537832577596736,604,0,-1,73.85,timer,car
17,39.45,22.22330763147378,0.0012228642398368495,304,6,-1,39.45,timer,electric car
17,13.55,22.222251684510102,9.660848857294381e-05,4,3,-1,13.55,timer,car
17,12.16,22.222296612537086,0.00027178881629282383,605,0,-1,12.16,timer,car
17.857652388099964,0,22.22222222222222,0,305,-1,-1,0,start,car
17.857652388099964,0,22.22222222222222,0,305,6,-1,0,enter lane,car
18,340.9,22.287935240709793,0.006346722309163623,300,6,-1,340.9,timer,electric car
18,328.4,22.25889023994751,0.003866054638681577,600,0,-1,328.4,timer,electric car
18,318.0,22.23785112215836,0.0017438704685352783,0,3,-1,318.0,timer,car
18,282.57,22.247410630060063,0.0032396462656510204,601,0,-1,282.57,timer,car
18,268.54,22.24302203685165,0.00258540242018145,301,6,-1,268.54,timer,HGV
18,252.84,22.224036440304285,0.00029506881004651126,1,3,-1,252.84,timer,car
18,199.47,22.222147512254764,-1.6644507570349346e-05,602,0,-1,199.47,timer,electric car
18,196.43,22.2313536412601,0.0020664040625064883,302,6,-1,196.43,timer,electric car
18,169.46,22.233875827602226,0.0030569215489105036,2,3,-1,169.46,timer,car
18,152.2,22.230422920182136,0.0023949651429655714,603,0,-1,152.2,timer,car
18,118.58,22.232347781290695,0.003795877031760235,303,6,-1,118.58,timer,car
18,107.45,22.223834189634864,0.0006666848284483116,3,3,-1,107.45,timer,car
18,96.07,22.22490423031975,0.001240807697165069,604,0,-1,96.07,timer,car
18,61.67,22.224874927306338,0.00191172742527761,304,6,-1,61.67,timer,electric car
18,35.77,22.22242748915702,0.0002550008052655172,4,3,-1,35.77,timer,car
18,34.38,22.22281664993519,0.0007682859799142583,605,0,-1,34.38,timer,car
18,3.16,22.222224173759948,2.7419325152643704e-05,305,6,-1,3.16,timer,car
19,363.19,22.294281963018957,0.006346722309163623,300,6,-1,363.19,timer,electric car
19,350.66,22.262756294586193,0.003866054638681577,600,0,-1,350.66,timer,electric car
19,340.24,22.239594992626895,0.0017438704685352783,0,3,-1,340.24,timer,car
19,304.82,22.250650276325715,0.0032396462656510204,601,0,-1,304.82,timer,car
19,290.78,22.24560743927183,0.00258540242018145,301,6,-1,290.78,timer,HGV
19,275.06,22.224331509114332,0.00029506881004651126,1,3,-1,275.06,timer,car
19,221.69,22.222129940696757,-1.8498608446564336e-05,602,0,-1,221.69,timer,electric car
19,218.66,22.23353695009206,0.0023002136014090594,302,6,-1,218.66,timer,electric car
19,191.7,22.237133218642153,0.0034578605309451968,2,3,-1,191.7,timer,car
19,174.43,22.232992744162242,0.002744682817245253,603,0,-1,174.43,timer,car
19,140.81,22.236499408615913,0.004507377618680365,303,6,-1,140.81,timer,car
19,129.67,22.224569807100693,0.0008045501032044226,3,3,-1,129.67,timer,car
19,118.3,22.22628855023662,0.0015278321365704644,604,0,-1,118.3,timer,car
19,83.9,22.227131086324334,0.0026005906107183707,304,6,-1,83.9,timer,electric car
19,57.99,22.22276168612063,0.0004133931219580906,4,3,-1,57.99,timer,car
19,56.6,22.223833184496915,0.0012647831435356927,605,0,-1,56.6,timer,car
19,25.38,22.222347904237733,0.00022004163041407015,305,6,-1,25.38,timer,car
19.864420678666356,0,22.22222222222222,0,606,-1,-1,0,start,HGV
19.864420678666356,0,22.22222222222222,0,606,0,-1,0,enter lane,HGV
20,385.49,22.30062868532812,0.006346722309163623,300,6,-1,385.49,timer,electric car
20,372.93,22.266622349224875,0.003866054638681577,600,0,-1,372.93,timer,electric car
